idQ;body;persoBody;field;textArea;answer;;;;;answer;;;;;answer;;;;;answer;;;;;answer;;;;
;;;;;idQ;body;breakPoint;reaction;detail;idQ;body;breakPoint;reaction;detail;idQ;body;breakPoint;reaction;detail;idQ;body;breakPoint;reaction;detail;idQ;body;breakPoint;reaction;detail
59;Pourquoi est-ce que tu n'y vas pas ?👂;;justifAbsenceTD;FAUX;60;Ça sert à rien;FAUX;;0;60;Pas le temps;FAUX;;1;60;Pas interessant;FAUX;;2;;;;;;;;;;
60;Tu comptes y aller plus souvent ?😊;;objectifPresenceTD;FAUX;0;Non;VRAI;Dommage...!;0;62;Oui un peu plus...;VRAI;;1;62;Oui beaucoup plus !;VRAI;;2;;;;;;;;;;
61;;Tu m'as dit que tu allais/en TD... Tu y vas toujours autant ?;presenceTD;FAUX;59;Plus Jamais;FAUX;Hmm..🙄;0;59;De temps en temps;FAUX;;1;61;Souvent;VRAI;Nice !😍;2;61;Toujours !;VRAI;Nice !😍;3;;;;;
62;;Tu m'as dit que t'allais aller/ plus souvent en TD, ça donne quoi ?;atteinteObjectifsTD;FAUX;0;Je m'y tiens !;FAUX;Bien joué !;0;0;Je n'ai pas reussi;FAUX;Dommage 🙄;1;;;;;;;;;;;;;;;
63;Tu prends des notes en cours ?;;notesCours;FAUX;64;Oui !;FAUX;Parfait !😇;0;64;Pas toujours mais j'écoute !;FAUX;"Je fais pareil je note tout dans mon ""cerveau"" 🧠";1;64;Non je n'arrive pas à suivre;FAUX;Hmm je vois j'espère que tu vas t'y faire !;2;;;;;;;;;;
64;Est-ce que tu travailles à plusieurs ?😊;;travailGroupe;FAUX;65;Non;FAUX;Au moins tu n'es pas distrait par les autres !;0;65;Parfois;FAUX;Je comprends, toutes les situations ne le permettent pas !;1;65;Souvent;FAUX;L'union fait la force 📚💪;2;;;;;;;;;;
65;Est-ce que tu reprends tes TDs ?;;repriseTD;FAUX;66;Non;FAUX;T'as de la chance que je dise rien à personne 🤭;0;66;Oui ça m'aide à suivre !;FAUX;Super, je suis fière de toi 😜;1;;;;;;;;;;;;;;;
66;Est-ce que tu arrives à réviser efficacement ?;;examPrep;FAUX;67;Oui très bien !;FAUX;C'est important d'être efficace, content que tu aies déjà pu trouver comme l'être !👌;0;67;Oui plutôt;FAUX;C'est important d'être efficace, content que tu aies déjà pu trouver comme l'être !👌;1;0;Pas vraiment;FAUX;Je vois, j'espère que tu vas réussir à trouver comment bien bosser, ça te servira tout au long de ta licence !;2;0;Pas du tout;FAUX;Je vois, j'espère que tu vas réussir à trouver comment bien bosser, ça te servira tout au long de ta licence !;3;;;;;
67;Est-ce que tu trouves que ton travail paye ?;;usefulWork;FAUX;0;Oui plutôt;FAUX;On the road to success ! 👏;0;0;Non, pas vraiment;FAUX;Ha...tqt ça va venir ! 💪;1;;;;;;;;;;;;;;;
68;Est-ce que tu es dans de bonnes conditions pour travailler chez toi ?;;homeWorkConditions;FAUX;69;Oui ça va !;FAUX;Cool ! L'environnement de travail est très important !;0;69;Non;FAUX;Ah c'est problématique 😞;1;;;;;;;;;;;;;;;
69;Est-ce que tu vas à la BU pour travailler ?;;buWork;FAUX;70;Oui parfois;FAUX;C'est pas mal pour concentreé !;0;70;Non pas besoin;FAUX;;1;70;Je ne connais pas 🙄;FAUX;Ha tu devrais te rendre sur le site www.maBU-reussir.fr;2;;;;;;;;;;
70;Est ce que tu sais où se trouve la médecine préventive ?;;medPrev;FAUX;71;Oui je connais;FAUX;;0;71;Non késako ?;FAUX;Ha je vais t'apprendre quelque chose ! Tu peux la contacter au [numéro] ou te renseigner sur la page www.medecine-preventive.fr;1;;;;;;;;;;;;;;;
71;Est-ce que tu manges au CROUS ?;;foodCrous;FAUX;0;Oui toujours !;FAUX;Haha t'as raison c'est un super bon plan : un repas équilibré pour pas grand chose !🍆🥕💸;0;0;De temps en temps;FAUX;Haha t'as raison c'est un super bon plan : un repas équilibré pour pas grand chose !🍆🥕💸;1;0;Jamais;FAUX;Pour information, le CROUS peut te proposer plein de repas équilibrés et peu chers. 🍆🥕💸;2;;;;;;;;;;
72;Ça n'a rien à voir, mais est-ce que tu as un travail rémunéré en parallèle de tes études ?🙂;;employe;FAUX;0;Non;FAUX;;0;73;Oui;FAUX;;1;;;;;;;;;;;;;;;
73;Tu as un contrat de combien d'heures par semaine ?;;employeTime;FAUX;0;Moins de 5h;FAUX;;0;0;Entre 5 et 15h;FAUX;;1;0;Plus de 15h;FAUX;;2;;;;;;;;;;
74;Est-ce que tu es artiste ou sportif de haut niveau ?🤔;;hautNiveau;FAUX;4;Non;FAUX;Moi non plus je me limite à mon petit niveau en graphisme 👾;0;75;Oui je suis un artiste;FAUX;Ok, tu peux peut être bénéficier d'aménagements alors n'hésite pas à te renseigner dès maintenant !;1;76;Oui je suis sportif;FAUX;Ok, tu peux peut être bénéficier d'aménagements alors n'hésite pas à te renseigner dès maintenant !;2;;;;;;;;;;
75;T'es-tu déclaré en tant que tel lors de l'inscription ?;;hautNiveauDeclar;FAUX;4;Oui;FAUX;Ça marche !😊;0;4;Non;FAUX;Ha je t'invite à en parler à ton enseignant référent ASAP;1;;;;;;;;;;;;;;;
76;T'es-tu déclaré en tant que tel lors de l'inscription ?;;hautNiveauDeclar;FAUX;5;Oui;FAUX;Ça marche !😊;0;5;Non;FAUX;Ha je t'invite à en parler à ton enseignant référent ASAP;1;;;;;;;;;;;;;;;
77;Es-tu en charge de ta famille ?;;familyResponsibility;FAUX;0;Non;FAUX;;0;78;Oui;FAUX;;1;;;;;;;;;;;;;;;
78;A quel point tu penses que ça peut être gênant pour tes études ?🤔;;familyResponsibilityDanger;FAUX;0;Je saurais le gérer;FAUX;D'accord nickel !😊;0;0;Ça risque de me faire perdre du temps;FAUX;;1;0;J'ai peur d'avoir de grosses difficultés;FAUX;;2;;;;;;;;;;
79;Est-ce que tu est impliqué dans l'associatif ?🙂;;asso;FAUX;82;Non;FAUX;;0;0;Oui !;FAUX;D'acc, tu peux essayer de le faire reconnaître afin de valider ton UE engagement étudiant 😉;;;;;;;;;;;;;;;;
80;Pour finir est-ce que tu sens que tu aurais besoin d'aide ?;;needHelp;FAUX;80;Non ça va;VRAI;It's all good then !😘Merci de m'avoir parlé, j'ai aimé discuter avec toi ❤️;0;81;Oui !;FAUX;Je vais faire remonter ta demande !;1;;;;;;;;;;;;;;;
81;Tu peux maintenant ajouter une description pour ta demande..;;helpMessage;VRAI;80;;VRAI;Merci ! Ton professeur référent sera mis au courant 😉Et merci de m'avoir parlé, j'ai aimé discuter avec toi ❤️;;;;;;;;;;;;;;;;;;;;;
82;C'est toi qui a préféré ne pas en faire ?;;whyNotAsso;FAUX;0;Oui, pas le temps;FAUX;Je comprend, c'est dur de tout concillier !😊;0;0;Oui, pas l'envie;FAUX;D'acc, comme tu veux !;1;83;Non, je n'ai pas été pris;FAUX;;2;83;Non (autre);FAUX;;3;;;;;
83;Tu peux m'en parler un peu ?;;whyNotAcceptedAsso;VRAI;0;;FAUX;Merci d'avoir pris de ton temps pour me répondre !;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
150;Maintenant tu veux jouer au plus ou moins avec moi ?;;plusMoins;FAUX;151;Oui trop bien !;FAUX;On y va !;0;0;Non;FAUX;Ohhh 😭;1;;;;;;;;;;;;;;;
151;Je pense à un nombre entre 0 et 100 essaye de le deviner !;;;VRAI;-1;;FAUX;;;;;;;;;;;;;;;;;;;;;;
152;C'est plus !;;;VRAI;-1;;FAUX;;;;;;;;;;;;;;;;;;;;;;
153;C'est moins !;;;VRAI;-1;;FAUX;;;;;;;;;;;;;;;;;;;;;;
154;T'as gagné ! Tu veux rejouer ?;;won;FAUX;151;Oui trop bien !;FAUX;On y va !;0;0;Non;FAUX;Ohhh 😭;1;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
